plan,monthly_usd,included_units,usage_fraction,assumed_unit_cost_usd,used_units,contribution_usd
Starter,0,10000,0,2e-05,0,-8.0
Starter,0,10000,0,0.0002,0,-8.0
Starter,0,10000,0,0.002,0,-8.0
Starter,0,10000,0.5,2e-05,5000.0,-8.1
Starter,0,10000,0.5,0.0002,5000.0,-9.0
Starter,0,10000,0.5,0.002,5000.0,-18.0
Starter,0,10000,1,2e-05,10000,-8.2
Starter,0,10000,1,0.0002,10000,-10.0
Starter,0,10000,1,0.002,10000,-28.0
Team,49,100000,0,2e-05,0,39.23
Team,49,100000,0,0.0002,0,39.23
Team,49,100000,0,0.002,0,39.23
Team,49,100000,0.5,2e-05,50000.0,38.23
Team,49,100000,0.5,0.0002,50000.0,29.23
Team,49,100000,0.5,0.002,50000.0,-60.77
Team,49,100000,1,2e-05,100000,37.23
Team,49,100000,1,0.0002,100000,19.23
Team,49,100000,1,0.002,100000,-160.77
Scale,149,500000,0,2e-05,0,136.23
Scale,149,500000,0,0.0002,0,136.23
Scale,149,500000,0,0.002,0,136.23
Scale,149,500000,0.5,2e-05,250000.0,131.23
Scale,149,500000,0.5,0.0002,250000.0,86.23
Scale,149,500000,0.5,0.002,250000.0,-363.77
Scale,149,500000,1,2e-05,500000,126.23
Scale,149,500000,1,0.0002,500000,36.23
Scale,149,500000,1,0.002,500000,-863.77
